9,0
12,45
11,49
12,61
8,25
11,53
3,60
7,38
8,13
23,54
6,37
15,61
9,19
6,41
12,33
22,61
8,26
16,20
19,12
23,46
26,50
5,44
21,55
13,30
23,25
10,51
21,42
10,45
14,59
11,4
19,32
6,59
7,16
4,48
13,48
20,4
4,46
4,2
18,58
20,16
1,8
16,55
5,55
14,5
10,25
7,6
15,25
5,18
25,52
25,30
1,17
22,50
7,55
12,28
25,1
14,19
14,47
25,9
17,10
13,15
15,11
18,63
26,57
10,17
26,23
16,53
17,30
13,35
25,6
21,52
1,6
7,41
24,26
4,13
22,55
2,6
20,32
17,38
12,41
17,15
10,61
5,63
26,19
9,16
20,13
6,6
18,19
18,8
19,22
16,24
10,35
16,47
4,35
20,50
25,38
3,46
6,9
8,52
22,3
11,2
7,11
19,60
24,11
14,48
15,1
1,33
14,37
16,32
13,44
1,24
13,45
8,12
22,47
20,44
2,57
9,63
8,6
9,13
22,8
21,41
15,16
17,28
18,49
23,16
24,16
14,53
18,32
9,41
12,22
14,38
23,3
19,58
9,12
14,20
16,22
17,58
26,2
26,11
13,38
19,63
17,50
2,50
9,62
11,40
24,53
13,10
11,16
24,61
1,11
20,18
5,15
19,1
3,40
14,46
24,6
25,58
15,57
3,3
3,54
13,63
9,44
19,42
26,62
5,10
20,36
24,60
21,35
6,55
24,54
9,10
24,8
18,21
25,27
4,29
11,47
21,51
26,29
1,26
10,44
24,27
25,44
11,59
24,36
1,56
23,50
1,32
15,12
6,46
26,51
18,30
8,8
7,46
21,17
23,9
19,16
9,55
18,2
22,33
25,17
21,0
5,7
8,48
12,62
2,39
7,8
3,14
10,9
26,41
14,0
21,48
6,48
8,11
4,36
12,23
13,26
8,63
17,57
19,6
24,10
18,14
3,50
21,10
11,56
13,61
1,49
10,10
2,35
4,25
2,10
6,20
9,8
15,49
18,59
25,35
25,10
3,10
2,42
8,4
13,37
15,52
22,27
4,59
18,55
12,31
13,0
17,2
5,41
17,35
21,25
4,60
23,15
5,25
12,56
16,10
23,23
2,29
14,33
15,47
23,59
19,43
11,58
20,60
5,42
11,17
13,42
23,14
26,17
26,26
5,35
2,26
4,10
16,54
18,0
10,47
12,1
17,17
24,48
1,47
26,4
1,29
22,0
3,48
15,0
2,21
5,49
9,26
21,1
3,42
3,29
20,62
1,34
14,60
16,6
2,13
10,34
16,9
17,41
22,7
25,31
22,6
22,13
11,34
15,40
17,23
5,34
7,50
2,32
6,26
20,53
26,28
9,38
7,9
15,30
24,0
4,1
22,54
3,62
7,15
8,49
6,11
7,47
15,23
15,26
3,15
3,31
3,58
11,61
21,59
21,44
2,4
2,60
16,28
20,27
15,37
17,26
19,47
18,17
22,21
2,19
17,51
20,41
25,16
18,34
18,9
26,47
19,39
17,45
24,25
5,61
10,32
24,51
3,43
10,7
13,33
24,46
26,56
1,58
23,10
4,15
2,11
10,8
15,32
21,56
5,53
7,29
10,19
14,11
19,55
20,28
2,5
11,43
18,18
2,23
26,58
7,34
14,55
16,60
20,35
22,49
4,26
4,54
21,9
16,16
4,34
16,40
3,0
24,56
3,24
6,19
8,55
17,62
19,35
5,17
22,31
25,47
2,51
4,12
17,48
3,45
13,34
21,12
2,62
3,39
5,54
19,7
23,47
26,35
3,20
7,5
1,35
2,3
10,59
14,24
20,45
21,46
22,9
23,36
10,42
16,49
24,39
26,52
13,24
16,37
19,61
4,51
6,53
22,62
1,22
1,36
15,6
26,12
11,62
17,7
2,49
5,47
8,57
10,41
20,34
24,57
18,48
8,53
1,44
11,22
15,48
17,36
6,57
20,7
25,51
9,34
12,35
22,42
2,34
19,24
4,63
17,3
2,43
7,49
11,18
15,42
17,13
24,30
3,57
3,36
6,38
18,38
3,6
6,33
16,35
16,50
17,9
24,23
2,36
17,11
17,37
2,14
16,19
19,4
2,20
18,60
1,43
1,12
1,25
2,17
18,7
1,45
2,40
4,33
10,49
16,13
19,11
22,11
1,4
1,46
12,50
18,10
2,54
15,46
23,61
26,49
2,63
2,41
3,53
22,34
7,57
17,6
24,28
3,61
5,11
9,9
15,24
21,27
23,21
4,24
6,30
20,3
23,11
23,19
23,48
23,51
18,52
26,9
26,14
4,50
8,33
17,22
20,10
23,43
25,23
10,12
15,20
22,57
24,62
15,43
4,7
1,16
5,6
24,45
25,24
10,33
15,34
16,8
20,38
25,0
7,44
13,14
3,18
3,33
11,29
5,2
9,45
12,5
1,55
2,56
5,37
6,50
11,35
19,26
22,39
1,1
2,55
8,30
21,21
24,50
24,32
2,45
9,53
19,48
25,48
2,47
2,53
20,43
20,46
3,35
21,45
4,14
13,36
16,17
